,CPU/IteratorGetNext,GPU/MEMCPYHtoD,MEMCPY/MEMCPYHtoD,GPU/ConcatV2,GPU/MatMul,GPU/Mean,GPU/ExpandDims,GPU/RealDiv,GPU/Mul,GPU/ApplyAdam,GPU/SparseSoftmaxCrossEntropyWithLogits,GPU/Reshape,GPU/Sub,GPU/RandomUniform,GPU/Cast,GPU/Shape,GPU/Add,GPU/Floor,GPU/Tile,GPU/Const,GPU/Relu,GPU/Slice,GPU/ReluGrad,GPU/Assign,GPU/DynamicStitch,GPU/VariableV2,GPU/BroadcastGradientArgs,GPU/NoOp,GPU/AddN,GPU/AssignAdd,GPU/Sum,GPU/Snapshot,GPU/Maximum,CPU/IteratorV2,GPU/Size,GPU/FloorDiv,GPU/Identity,GPU/ShapeN,CPU/_Arg,GPU/ConcatOffset,CPU/_Retval,CPU/NoOp,GPU/MEMCPYDtoH,MEMCPY/MEMCPYDtoH,MEMCPY/Assign
ratio,0.936714685561495,0.029028013876261808,0.029028013876261808,0.0017125671903399297,0.0007602309136248123,0.0006522647211903384,6.85026876135972e-05,0.0002002959018267135,0.00019657292967380062,0.00014445131953302016,0.00013477159193544665,9.754187040631773e-05,9.828646483690031e-05,9.084052053107453e-05,0.00010349862585097836,9.456349268398742e-05,7.669322635000554e-05,7.073647090534492e-05,7.222565976651008e-05,5.6589176724275936e-05,5.4355393432528205e-05,4.542026026553727e-05,4.690944912670242e-05,3.946350482087664e-05,4.393107140437211e-05,3.871891039029406e-05,4.393107140437211e-05,4.0208099251459216e-05,2.5316210639807655e-05,2.6060805070390234e-05,2.38270217786425e-05,4.4675665834954685e-05,2.0848644056312186e-05,1.4891888611651562e-05,2.0104049625729608e-05,1.5636483042234142e-05,1.7870266333981877e-05,8.19053873640836e-06,6.701349875243203e-06,7.445944305825781e-06,4.467566583495469e-06,3.7229721529128906e-06,2.2337832917477346e-06,2.2337832917477346e-06,1.4891888611651562e-06
ratio,0.9382301935852224,0.02848486141634839,0.02848486141634839,0.0016539834292638817,0.0006849904682583069,0.0006459953073370499,9.63842656732956e-05,0.00017437458751580958,0.00016701700998349696,0.0001228715447896211,0.00012066427152992731,7.7990321842514e-05,8.38763838683641e-05,8.976244589421422e-05,6.548244003758251e-05,6.621819779081377e-05,6.401092453111997e-05,6.621819779081377e-05,5.591758924557607e-05,6.106789351819492e-05,4.120243418095079e-05,4.267394968741332e-05,4.488122294710711e-05,3.973091867448826e-05,3.605212990833194e-05,3.825940316802573e-05,4.120243418095079e-05,1.3979397311394018e-05,2.4280005856631716e-05,2.354424810340045e-05,2.501576360986298e-05,1.5450912817856546e-05,1.986545933724413e-05,1.6922428324319075e-05,1.3979397311394018e-05,1.3243639558162753e-05,1.83939438307816e-05,8.093335285543905e-06,5.886062025850113e-06,4.414546519387585e-06,4.414546519387585e-06,3.6787887661563207e-06,2.9430310129250564e-06,2.9430310129250564e-06,2.2072732596937925e-06
ratio,0.9363877234606294,0.02937028150491416,0.02937028150491416,0.0016435144848211346,0.0007104271946168385,0.0006329802048472879,9.010659386649628e-05,0.00018319191810874452,0.00019212810923600033,0.00012212794540582966,0.00012361731059370564,8.191508533317843e-05,8.712786349074434e-05,8.712786349074434e-05,8.86172286786203e-05,7.223421161198462e-05,6.851079864229469e-05,6.478738567260476e-05,5.734055973322491e-05,6.106397270291483e-05,4.095754266658922e-05,4.468095563627915e-05,4.3936273042341165e-05,4.3936273042341165e-05,3.7234129696899294e-05,3.8723494884775265e-05,3.0531986351457416e-05,1.4893651878759717e-05,2.9042621163581445e-05,2.308516041207756e-05,2.4574525599953533e-05,2.6063890787829504e-05,2.308516041207756e-05,1.6383017066635688e-05,1.3404286690883745e-05,1.3404286690883745e-05,9.680873721193816e-06,6.702143345441872e-06,6.702143345441872e-06,4.4680955636279146e-06,4.4680955636279146e-06,2.978730375751943e-06,2.2340477818139573e-06,2.2340477818139573e-06,1.4893651878759715e-06
ratio,0.9373476286582928,0.028916592360134982,0.028916592360134982,0.00166480992376923,0.0006847736528551012,0.0006258683923944472,5.448736592610482e-05,0.00017524314987044524,0.00018260630742802697,0.00012075578394434042,0.00012296473121161495,5.448736592610482e-05,8.320368040067358e-05,8.54126276679481e-05,0.00010971104760796781,6.405947075096107e-05,6.33231549952029e-05,8.099473313339906e-05,5.5223681681863e-05,5.816894470489569e-05,4.049736656669953e-05,5.3014734414588474e-05,5.375105017034665e-05,5.0805787147313956e-05,5.154210290307213e-05,4.049736656669953e-05,3.387052476487597e-05,1.2517367847888946e-05,2.5771051451536067e-05,2.429841994001972e-05,2.282578842850337e-05,2.282578842850337e-05,1.6935262382437984e-05,1.4726315115163466e-05,1.4726315115163466e-05,1.1781052092130773e-05,1.1781052092130773e-05,6.626841801823559e-06,5.890526046065386e-06,5.890526046065386e-06,5.154210290307213e-06,2.945263023032693e-06,1.4726315115163466e-06,1.4726315115163466e-06,1.4726315115163466e-06
ratio,0.937448813119566,0.02869013273463338,0.02869013273463338,0.0017391709490748323,0.0008219020516975663,0.0006340803250917451,4.731942724565262e-05,0.00022203731246036998,0.00019801360324334634,0.00013904631698337923,0.00012230251965030214,8.080702191180677e-05,9.463885449130524e-05,7.571108359304418e-05,8.444697785378006e-05,9.245488092612127e-05,6.624719814391366e-05,6.988715408588694e-05,6.551920695551901e-05,5.678331269478314e-05,6.187925101354573e-05,5.1687374376020556e-05,4.731942724565262e-05,4.6591436057257965e-05,4.076750655010072e-05,4.076750655010072e-05,3.275960347775951e-05,1.5287814956287768e-05,2.839165634739157e-05,2.6207682782207605e-05,2.9119647535786225e-05,2.9847638724180884e-05,2.4751700405418292e-05,1.5287814956287768e-05,1.3831832579498458e-05,1.4559823767893113e-05,1.0919867825919834e-05,7.279911883946556e-06,5.8239295071572456e-06,4.367947130367934e-06,2.9119647535786228e-06,3.639955941973278e-06,2.183973565183967e-06,2.183973565183967e-06,2.183973565183967e-06
ratio,0.9365432497834476,0.02927907965777641,0.02927907965777641,0.001704861574028903,0.000693414646317566,0.0006345749502283203,6.33085337669099e-05,0.0001787535071065691,0.00018024311966579053,0.00013406513032992683,0.00012289303613576626,6.554295260574201e-05,8.565272215523104e-05,7.448062796107046e-05,9.310078495133809e-05,6.47981463261313e-05,8.490791587562033e-05,5.958450236885637e-05,5.6605277250413556e-05,5.2136439572749325e-05,4.2453957937810166e-05,4.319876421742087e-05,4.617798933586369e-05,4.021953909897805e-05,3.575070142131382e-05,3.649550770092453e-05,3.500589514170312e-05,5.6605277250413556e-05,2.5323413506763957e-05,2.3088994667931844e-05,2.1599382108710434e-05,2.4578607227153255e-05,2.5323413506763957e-05,1.4151319312603389e-05,1.713054443104621e-05,1.5640931871824798e-05,9.68248163493916e-06,8.937675355328455e-06,5.9584502368856374e-06,6.703256516496342e-06,4.468837677664228e-06,3.724031398053523e-06,2.9792251184428187e-06,2.9792251184428187e-06,1.4896125592214094e-06
ratio,0.9376857242803331,0.028642549699690673,0.028642549699690673,0.0017584735175191907,0.0007474236697198538,0.0006329925264875506,5.287008516429198e-05,0.00020423786323740188,0.00018975290839786985,0.0001195008774261394,0.000120225125168116,9.053096774707531e-05,8.61854812952157e-05,9.560070194091153e-05,8.546123355323909e-05,7.604601290754326e-05,6.735504000382403e-05,6.300955355196442e-05,5.7215571616151595e-05,5.7215571616151595e-05,7.966725161742627e-05,3.9833625808713135e-05,4.635185548650256e-05,4.200636903464294e-05,4.0557873550689736e-05,3.621238709883012e-05,3.403964387290031e-05,1.5209202581508651e-05,2.8245661937087494e-05,2.2451680001274675e-05,2.1727432259298075e-05,1.6657698065461856e-05,1.9554689033368268e-05,1.3036459355578843e-05,1.5209202581508651e-05,1.3036459355578843e-05,1.0863716129649038e-05,7.2424774197660245e-06,5.79398193581282e-06,6.518229677789422e-06,3.6212387098830122e-06,2.89699096790641e-06,1.448495483953205e-06,1.448495483953205e-06,1.448495483953205e-06
ratio,0.9375187684807887,0.02874070891702852,0.02874070891702852,0.0017951983376331877,0.0007540271405931826,0.0006342011221268241,5.845171632505292e-05,0.0001782777347914114,0.0001819309670617272,0.00011690343265010583,0.00012859377591511643,7.817917058475827e-05,8.183240285507409e-05,8.840822094164254e-05,6.941141313600033e-05,7.01420595900635e-05,8.183240285507409e-05,6.502753441162137e-05,5.552913050880027e-05,5.772106987098976e-05,6.0643655687242405e-05,4.3838787243789684e-05,4.2377494335663364e-05,4.091620142753704e-05,3.360973688690543e-05,3.7262969157221235e-05,3.507102979503175e-05,1.461292908126323e-05,2.2650040075958006e-05,2.2650040075958006e-05,2.1188747167831682e-05,1.8266161351579037e-05,2.045810071376852e-05,1.3882282627200067e-05,1.3151636173136907e-05,2.2650040075958006e-05,9.498403902821099e-06,6.5758180865684535e-06,5.8451716325052915e-06,5.11452517844213e-06,3.6532322703158073e-06,3.6532322703158073e-06,2.1919393621894842e-06,2.1919393621894842e-06,2.1919393621894842e-06
ratio,0.9370968923662376,0.028913849029877422,0.028913849029877422,0.0017547092592551476,0.0007681941000028863,0.0006490426066498374,6.29060679193115e-05,0.0001938987034689366,0.00018427777543421838,0.00013395292109876918,0.00011915149335304884,8.4368138150606e-05,8.584828092517804e-05,9.990963728361238e-05,9.546920895989626e-05,7.252699595402973e-05,7.54872815031738e-05,7.252699595402973e-05,5.47652826591653e-05,5.624542543373734e-05,5.47652826591653e-05,4.292414046258902e-05,4.588442601173309e-05,3.922378352615893e-05,4.7364568786305126e-05,3.6263497977014864e-05,3.3303212427870795e-05,1.554149913300637e-05,2.5902498555010616e-05,2.2942213005866544e-05,2.220214161858053e-05,2.4422355780438582e-05,1.6281570520292388e-05,1.4061356358434335e-05,1.4061356358434335e-05,1.2581213583862299e-05,1.0360999422004247e-05,6.660642485574159e-06,6.660642485574159e-06,5.920571098288141e-06,5.180499711002124e-06,3.700356936430088e-06,2.220214161858053e-06,2.220214161858053e-06,1.4801427745720352e-06
ratio,0.9375892964635337,0.02869598515847448,0.02869598515847448,0.0017195688531034192,0.0007586119866495895,0.0006403961608141372,6.309679047659109e-05,0.0001914661228255178,0.00018348836770778787,0.0001203915772311968,0.00011821582583545227,9.210680908651803e-05,8.412905396878812e-05,9.645831187800707e-05,8.920580722552534e-05,6.744829326808013e-05,6.744829326808013e-05,6.164628954609474e-05,5.656953628935753e-05,5.439378489361301e-05,7.542604838581004e-05,4.4965528845386754e-05,4.351502791489041e-05,3.988877558864954e-05,3.9163525123401364e-05,3.771302419290502e-05,3.9163525123401364e-05,5.294328396311666e-05,2.3933265353189724e-05,2.2482764422693377e-05,2.1757513957445205e-05,1.668076070070799e-05,1.450500930496347e-05,1.450500930496347e-05,1.450500930496347e-05,1.1604007443970774e-05,1.0153506513474429e-05,6.527254187233561e-06,6.527254187233561e-06,5.076753256737214e-06,4.351502791489041e-06,4.351502791489041e-06,1.4505009304963468e-06,1.4505009304963468e-06,1.4505009304963468e-06
