,MEMCPYHtoD,SparseToDense,IteratorGetNext,MatMul,SoftmaxCrossEntropyWithLogits,Unique,LogUniformCandidateSampler,ConcatV2,Add,Mul,ComputeAccidentalHits,Sub,Slice,ZerosLike,GatherV2,UnsortedSegmentSum,AddN,RealDiv,Shape,Pad,ScatterAdd,Sqrt,Assign,Const,AssignSub,Log,Reshape,Cast,MEMCPYDtoH,NoOp,Snapshot,Mean,StridedSlice,Fill,BroadcastGradientArgs,VariableV2,Tile,Sum,Identity,AssignAdd,StopGradient,Pack,IteratorV2,ExpandDims,Size,ShapeN,ConcatOffset,_Retval
ratio,0.375098799352629,0.2110981469632529,0.06121168780659164,0.055151994178679414,0.0517018580551269,0.04298242312469419,0.03831532989574316,0.023987855520845095,0.021139924975221748,0.029947181552435795,0.02100191953027965,0.010262586723876196,0.009472191902844167,0.003675963215275948,0.0032744928299898377,0.003462682073092702,0.0031239414355075466,0.003211763082288883,0.0025719196557391446,0.002182995219993225,0.002270816866774562,0.0023837304126362803,0.002459006109877426,0.0023837304126362803,0.0018317086328678786,0.0016811572383855873,0.0015682436925238687,0.0014051463485013863,0.0011291354586171855,0.0007276650733310751,0.001028767862295658,0.000978584064134894,0.000740211022871266,0.0006649353256301203,0.0006649353256301203,0.0009409462155143212,0.0006649353256301203,0.0007025731742506931,0.000514383931147829,0.0005269298806880199,0.00032619468804496467,0.00038892443574591945,0.0002258270917234371,0.00027601088988420087,0.00023837304126362804,0.0001756432935626733,0.00013800544494210043,8.782164678133664e-05
ratio,0.38944805406179606,0.21537479980729418,0.056535722191117306,0.05291597765654093,0.051926407208239475,0.04347599640629679,0.03900990872514681,0.02535123240582805,0.02117159932813375,0.022538769026444968,0.020025780914311012,0.009999869793362065,0.00960924987955886,0.003710889181130454,0.0030989179828387653,0.002942670017317483,0.0029166286897306026,0.00273433939662244,0.002265595500058593,0.0019530995690160283,0.001979140896602909,0.0018879962500488274,0.0018749755862553872,0.001718727620734105,0.0016796656293537845,0.0017708102759078658,0.0013801903621046602,0.0010937357586489759,0.0011458184138227368,0.0007812398276064113,0.0008203018189867319,0.0008072811551932918,0.0006380125258785693,0.0007682191638129712,0.0006510331896720095,0.0006380125258785693,0.0004687438965638468,0.00045572323277040663,0.0003515579224228851,0.0003775992500097655,0.0004036405775966459,0.00029947526724912436,0.0002604132758688038,0.0002604132758688038,0.00019530995690160283,0.0001171859741409617,9.114464655408133e-05,7.812398276064113e-05
ratio,0.3905733582411266,0.21715502488602073,0.054932134972370636,0.0537956080419078,0.052489255248272346,0.04250871990489752,0.039033821473827224,0.02448105135272832,0.021189042312766984,0.021594011678793976,0.020065578910240498,0.010098107094802022,0.009588629505284198,0.003657787822179258,0.002978484369488824,0.0029523573136161154,0.003056865537106951,0.002730277338698089,0.002469006779970999,0.001933402134580465,0.0018942115507714014,0.0018419574390259833,0.0020248468301349463,0.0017766397993442108,0.001646004519980666,0.0015545598244261845,0.001384733961253576,0.0012802257377627403,0.0012018445701446133,0.0007054305085631426,0.0008752563717357509,0.0007054305085631426,0.0006793034526904336,0.0007054305085631426,0.0006793034526904336,0.0006139858130086611,0.00040496936602698924,0.0004441599498360527,0.0003657787822179258,0.0003527152542815713,0.0002743340866634443,0.0003527152542815713,0.0002743340866634443,0.00023514350285438085,0.0001698258631726084,0.00011757175142719043,7.838116761812695e-05,7.838116761812695e-05
ratio,0.3916934163118244,0.21477890599410415,0.05353422862757943,0.055027841467409105,0.052210940058958405,0.04421880117916803,0.03884703570258762,0.024814936128398298,0.021342941369145104,0.021735997379626597,0.020491320013101867,0.009970520799213888,0.009564362921716344,0.00370782836554209,0.0033671798231247954,0.0031051424828037995,0.002908614477563053,0.0027906976744186047,0.002043891254503767,0.0018866688503111693,0.001794955781198821,0.0018604651162790699,0.00184736324926302,0.0015853259089420241,0.0016115296429741238,0.0013625941696691778,0.0012839829675728792,0.0012446773665247299,0.0012839829675728792,0.0006812970848345889,0.000864723223059286,0.0007075008188666886,0.00061578774975434,0.0006550933508024893,0.0006681952178185391,0.0006026858827382902,0.00047166721257779233,0.0004192597445135932,0.00034064854241729444,0.0003537504094333443,0.00032754667540124465,0.00039305601048149363,0.0003013429413691451,0.00022273173927284638,0.00017032427120864722,0.00013101867016049787,9.171306911234852e-05,6.550933508024893e-05
ratio,0.3927094139429832,0.21592058093574776,0.05225007550588946,0.055427888592701535,0.052499573227581316,0.043123711475582055,0.03865901540320145,0.024818457578821583,0.021378015311281237,0.021916405131774192,0.020143658161858365,0.010150617835147663,0.009599096555618294,0.0036636770711593767,0.003164681627775662,0.0028757895289745644,0.0028757895289745644,0.0026788176434283614,0.0022192165771538876,0.0018909301012435492,0.0018515357241343086,0.0021141649048625794,0.0017727469699158273,0.001641432379551692,0.001667695297624519,0.0011161740180951505,0.0013525402807505942,0.0011818313132772181,0.001129305477131564,0.0011686998542408047,0.0008929392144761205,0.0006697044108570903,0.0006303100337478497,0.0006040471156750226,0.0006303100337478497,0.0005909156566386091,0.0003939437710924061,0.00042020668916523314,0.0003545493939831655,0.0003545493939831655,0.0003282864759103384,0.00027576063976468427,0.00019697188554620304,0.00023636626265544365,0.00019697188554620304,0.00011818313132772183,9.192021325489476e-05,5.252583614565414e-05
ratio,0.3919218411907416,0.21481870041308768,0.05216707101173693,0.05564225296701856,0.052363779424300046,0.044495442921775624,0.03938102419513474,0.0242475903219461,0.02141498918103731,0.022044456101239264,0.02064126942495574,0.009927217887351649,0.009546914956396303,0.00369811815618648,0.0029768539767884073,0.0029637400826175333,0.002885056717592289,0.0026358927283456823,0.0022949314799029573,0.001927742443118484,0.00191462854894761,0.0018097173955806177,0.0017441479247262475,0.001586781194675759,0.0016523506655301292,0.0013507310996000261,0.001599895088846633,0.0010753393220116713,0.0012327060520621598,0.0009442003803029309,0.0007606058619106944,0.0007081502852271983,0.000629466920201954,0.0006688086027145761,0.0006032391318602059,0.0005901252376893318,0.0004196446134679693,0.0004196446134679693,0.0003409612484427251,0.0003409612484427251,0.000314733460100977,0.0004196446134679693,0.0002229362009048587,0.00020982230673398465,0.00017048062422136254,0.00011802504753786637,9.179725919611829e-05,6.55694708543702e-05
ratio,0.3901795625204048,0.21412993796931112,0.06001958863858962,0.05418217433888345,0.05193601044727392,0.0430035912504081,0.038759386222657524,0.024120143650016322,0.021234084231145936,0.02197845249755142,0.02018935683969964,0.009833496571988247,0.009467841984982043,0.0036696049624551095,0.0032908912830558277,0.0028730003264773097,0.0028468821416911525,0.0026379366634018938,0.002115572967678746,0.00188050930460333,0.001919686581782566,0.0018282729350310154,0.0018935683969964088,0.0016846229187071498,0.0016585047339209924,0.0012797910545217107,0.001227554684949396,0.0011622592229840027,0.0010969637610186093,0.0005484818805093047,0.0007704864511916422,0.0006921318968331701,0.000613777342474698,0.0006660137120470127,0.0006921318968331701,0.0006268364348677766,0.0005484818805093047,0.0005223636957231473,0.00036565458700620306,0.00035259549461312436,0.00028730003264773097,0.00028730003264773097,0.0002742409402546523,0.00022200457068233758,0.00016976820111002286,0.00011753183153770813,9.141364675155077e-05,5.2236369572314726e-05
ratio,0.3941145420955397,0.21534705727104778,0.05327263130113486,0.051834257059910266,0.052533650039588285,0.04366587490102929,0.039733438902084986,0.024887833201372393,0.02149643705463183,0.021575613618368964,0.021324887833201373,0.010160992346265505,0.009540775930324624,0.003721298495645289,0.0029427289522301397,0.0030219055159672738,0.002876748482449195,0.002916336764317762,0.002111375032990235,0.0019266297176035894,0.0018474531538664556,0.0019530219055159672,0.0017946687780416996,0.001689100026392188,0.001649511744523621,0.0010688836104513063,0.0011744523621008182,0.000857746107152283,0.001240432831881763,0.000857746107152283,0.0007521773555027711,0.0006993929796780153,0.0005806281340723146,0.0006202164159408815,0.0006334125098970705,0.0005674320401161256,0.0004486671945104249,0.000422275006598047,0.0003299023489047242,0.0003299023489047242,0.0002507257851675904,0.0002507257851675904,0.0002111375032990235,0.00031670625494853525,0.00017154922143045658,0.00011876484560570071,9.237265769332278e-05,6.598046978094485e-05
ratio,0.3945259817532725,0.2156948300938781,0.05392040195689541,0.052280840936136455,0.05262461985984398,0.04220547401824673,0.0390453523733968,0.0246330821102737,0.021406849133941558,0.021882850720613512,0.021777072590241968,0.010022477852703953,0.009533253999735555,0.003662567764114769,0.003014676715589052,0.0029088985852175064,0.0029221208515139495,0.0025915641941028694,0.002049451275948698,0.0019172286129842655,0.0019568954118735953,0.0018643395477984926,0.0017982282163162765,0.0015602274229802988,0.0016263387544625148,0.001256115298162105,0.0012825598307549914,0.0011635594340870024,0.0011106703689012297,0.00033055665741108024,0.0008726695755652519,0.0007007801137114901,0.0005817797170435012,0.0009652254396403544,0.0006082242496363877,0.0006082242496363877,0.00043633478778262594,0.00043633478778262594,0.00033055665741108024,0.0003437789237075235,0.00030411212481819386,0.000251223059632421,0.00030411212481819386,0.0002380007933359778,0.00018511172815020494,0.00010577813037154569,9.255586407510247e-05,6.611133148221606e-05
ratio,0.39521132350023147,0.21444539982803096,0.052503472451881736,0.05196110853892453,0.05270189827369535,0.04317745882664197,0.03976453469144785,0.0248032277267015,0.02177392684701369,0.02219723526688273,0.0209008532310338,0.010066803360010583,0.009537667835174284,0.003703948673854091,0.0028176466697532906,0.0028970169984787355,0.002910245386599643,0.0026985911766651233,0.002235597592433362,0.0020768569349824723,0.0019048878894106754,0.001865202725047953,0.0017726040082016005,0.0015477214101461737,0.0016667769032343409,0.001269925259607117,0.0014022091408161916,0.0011773265427607645,0.001190554930881672,0.0007407897347708181,0.0008730736159798929,0.0007011045704080958,0.000621734241682651,0.000648191017924466,0.0005820490773199285,0.000595277465440836,0.00041008003174813147,0.00041008003174813147,0.00034393809114359415,0.00031748131490177923,0.00043653680798994644,0.00026456776241814934,0.00018519743369270453,0.00021165420993451948,0.00018519743369270453,0.00011905549308816721,0.00010582710496725974,6.614194060453734e-05
