,IteratorGetNext,StringToHashBucketFast,MatMul,Unique,Mul,ConcatV2,RealDiv,Add,GatherV2,ApplyAdam,Cast,DynamicStitch,Select,BiasAdd,Tile,Sub,Shape,LeakyRelu,BiasAddGrad,Mean,AddN,LeakyReluGrad,Sum,Reshape,RandomUniform,Slice,Neg,StridedSlice,Floor,Const,ZerosLike,UnsortedSegmentSum,ScatterAdd,Sqrt,MEMCPYHtoD,Assign,VariableV2,AssignSub,Size,ExpandDims,NoOp,BroadcastGradientArgs,GreaterEqual,Maximum,Exp,Log1p,Reciprocal,FloorDiv,Transpose,Identity,Fill,MEMCPYDtoH,ShapeN,Snapshot,Pack,AssignAdd,IteratorV2,ConcatOffset,_Arg,_Retval
ratio,0.3075975508133763,0.10767725807035977,0.08778667439585522,0.051556103039744935,0.0499981884714322,0.03362197021847035,0.026955545088946053,0.015796529111264085,0.01510814825549799,0.01528930111227854,0.019238433390094564,0.014926995398717438,0.013260389116336365,0.011630013405311402,0.0126806999746386,0.011122785406325858,0.010217021122423101,0.012282163689721386,0.009746023694793667,0.008151878555124814,0.009275026267164234,0.009021412267671461,0.008369261983261477,0.007064961414441506,0.01007209883699866,0.007717111698851491,0.007789572841563712,0.0066664251295242925,0.005289663417992102,0.0075721894134270495,0.004673743704938227,0.0057244302742654254,0.0051085105612115505,0.005362124560704323,0.004854896561718778,0.005651969131553205,0.0066664251295242925,0.0044563602768015655,0.00380420999239158,0.003260751422049926,0.0030795985652693745,0.003296981993406036,0.0035143654215426976,0.003260751422049926,0.0023187565667910585,0.0022462954240788377,0.00249990942357161,0.0027535234230643816,0.0019564508532299556,0.0023912177095032788,0.0013043005688199703,0.0014492228542444113,0.0011956088547516394,0.0016666062823810731,0.0011231477120394189,0.0011231477120394189,0.0007246114271222057,0.000760841998478316,0.00014492228542444115,0.00014492228542444115
ratio,0.3000816210653323,0.13126796550622805,0.09382873771248093,0.05177614535647113,0.05269881826892367,0.030093331913836546,0.020405266333084923,0.023421697008410517,0.016182263387629084,0.015330565314595975,0.012030235281592675,0.009865502679300187,0.018453458249050713,0.010042939777848753,0.011072074949430426,0.010291351715816743,0.011746335923914972,0.008410518471201958,0.010042939777848753,0.006600660066006601,0.007700770077007701,0.007984669434685404,0.008481493310621384,0.00780723233613684,0.006494197806877462,0.008126619113524256,0.007416870719329997,0.00695553426310373,0.0031228929344547358,0.0063522481280386105,0.006068348770360907,0.005819936832392917,0.005074701018488946,0.005039213598779233,0.004968238759359807,0.004577877142552965,0.004258490365165549,0.004364952624294687,0.00415202810603641,0.003868128748358707,0.0030874055147450227,0.0031228929344547358,0.0024131445402604777,0.003406792292132439,0.002626069058518755,0.002732531317647894,0.0020227829234536355,0.0024131445402604777,0.0020582703431633485,0.0015969338869370809,0.003761666489229568,0.0015614464672273679,0.0011001100110011,0.0020227829234536355,0.0011710848504205259,0.0010646225912913873,0.0005323112956456936,0.000745235813903971,0.00014194967883885163,0.00014194967883885163
ratio,0.33696748172422486,0.09610536929669776,0.09897277539702545,0.041687673304764306,0.04635114696244013,0.027571212503150994,0.02785480211746912,0.016259137887572474,0.018559364759263928,0.014084950844466851,0.016448197630451224,0.008728258129568943,0.011690194101336022,0.011658684144189564,0.012414923115704562,0.01449458028737081,0.011186034786992689,0.008413158558104362,0.009673556843962693,0.009295437358205193,0.008696748172422485,0.008350138643811445,0.008098058986639779,0.009516007058230401,0.005356692714897908,0.007845979329468112,0.008318628686664987,0.00806654902949332,0.00422233425762541,0.0066486009579026974,0.006207461557852281,0.004663473657675826,0.004726493571968742,0.004631963700529367,0.004159314343332493,0.005073103100579783,0.004978573229140408,0.003938744643307285,0.004915553314847491,0.003686664986135619,0.0061759516007058235,0.0036236450718427024,0.0024577766574237457,0.003150995714645828,0.003150995714645828,0.0022056970002520796,0.002804386186034787,0.0022056970002520796,0.0018275775144945803,0.0019851273002268717,0.0020481472145197884,0.0013234182001512478,0.0012919082430047895,0.0009452987143937484,0.0008192588858079153,0.0010713385429795815,0.0009768086715402067,0.0010398285858331234,0.00025207965717166626,0.00012603982858583313
ratio,0.30716381593072356,0.12366707221069205,0.09106848922922779,0.04902311600944679,0.04283260573964073,0.03696414513705003,0.023008659557718456,0.014528018321047735,0.01567308380448007,0.014814284691905818,0.016460316324339797,0.013490302726687182,0.012881986688613754,0.01252415372504115,0.012130537465111287,0.011092821870750733,0.011235955056179775,0.009661490016460316,0.009303657052887711,0.01077077220353539,0.008552207829385244,0.008695341014814284,0.012917769984971015,0.007264009160523868,0.0056179775280898875,0.006834609604236742,0.0069419594933085235,0.006118943677091534,0.00422242897015673,0.006011593788019753,0.008051241680383597,0.005188577971802762,0.005224361268160023,0.005152794675445502,0.005081228082730981,0.004830745008230158,0.004544478637372075,0.0044013454519430326,0.005653760824447148,0.0030057968940098764,0.0037572461175123455,0.002970013597652616,0.0036856795247978244,0.0030415801903671364,0.002898447004938095,0.002898447004938095,0.002755313819509053,0.002111214485078365,0.0016102483360767193,0.0026121806340800116,0.0011808487797895942,0.0016460316324339798,0.0015386817433621985,0.0009661490016460316,0.001001932298003292,0.0010377155943605526,0.0006440993344306878,0.0007156659271452086,0.00017891648178630214,0.00014313318542904174
ratio,0.29682217714672077,0.13319810682893848,0.09416035016547454,0.04825451051564001,0.048717127504359276,0.0298921746557062,0.02476780185758514,0.018504679548770508,0.015195188783317319,0.014483470339133839,0.01387850966157788,0.01601366499412832,0.01476815771680723,0.008825308707875165,0.010391089285078823,0.009181167929966904,0.010141987829614604,0.009608198996476993,0.009003238318921036,0.01142308102914487,0.008647379096829295,0.008220348030319206,0.007188356286253158,0.007971246574854988,0.009679370840895343,0.00729511405288068,0.007615387352763247,0.006263122308814633,0.007935660652645813,0.005693747553467848,0.007152770364043984,0.005231130564748585,0.004982029109284367,0.004875271342656845,0.004910857264866019,0.004590583964983452,0.004199138820682538,0.004234724742891712,0.004199138820682538,0.004661755809401801,0.004092381054055016,0.0034162485320807087,0.003914451443009145,0.003487420376499057,0.0019572257215045726,0.0019572257215045726,0.002918045621152272,0.0023486708658054874,0.0019216397992953987,0.0016369524216220063,0.0012099213551119178,0.0014946087327853102,0.0012099213551119178,0.0011387495106935696,0.0011387495106935696,0.001459022810576136,0.0007828902886018291,0.0008896480552293513,0.0001423436888366962,0.00010675776662752215
ratio,0.29424384567833894,0.13061343223882768,0.0874150030907967,0.04945274717283008,0.05283444238391331,0.03421693756590669,0.022835533253336242,0.016108505145267446,0.01367223010072361,0.015344896549216391,0.01807207010654158,0.015272171921021054,0.014872186465946693,0.012654085305988874,0.010654158030617068,0.011854114395840151,0.009890549434566015,0.009381477037198648,0.009199665466710302,0.010035998690956692,0.009454201665393985,0.008726955383440602,0.008181520671975565,0.007236100505436166,0.011854114395840151,0.007308825133631504,0.006763390422166467,0.006108868768408422,0.006763390422166467,0.005636158685138722,0.006217955710701429,0.005272535544162031,0.005236173230064361,0.004872550089087669,0.005163448601869023,0.004690738518599324,0.004327115377622632,0.004399840005817971,0.004181666121231956,0.0035635067815715793,0.0011635940511254136,0.003308970582887895,0.004181666121231956,0.00309079669830188,0.002763535871422857,0.0023999127304461655,0.0022181011599578197,0.0019999272753718047,0.001636304134395113,0.0021453765317624813,0.002290825788153158,0.0015272171921021055,0.001272680993418421,0.0016726664484927821,0.0010908694229300752,0.001018144794734737,0.0006908839678557143,0.0006545216537580451,0.0001454492563906767,0.0001454492563906767
ratio,0.2939216442776472,0.12521482936410508,0.10104871803865174,0.047595664831117816,0.04650836519238189,0.03447792080249728,0.022692995685875628,0.01799305531198485,0.016625162218091263,0.014345340394935287,0.015853530216407702,0.011399109115779875,0.015958752762091823,0.012170741117463435,0.011153589842516923,0.010346883658938655,0.012065518571779314,0.010101364385675705,0.00887376801936095,0.008487952018519169,0.0072603556522044125,0.008628248746097997,0.008102136017677388,0.007891690926309144,0.01080284802356985,0.008558100382308583,0.009014064746939778,0.006102907649679071,0.00897899056504507,0.005682017466942584,0.004875311283364316,0.0050857563747325595,0.005366349829890218,0.005015608010943144,0.005050682192837852,0.004770088737680193,0.00403353091789134,0.004208901827364876,0.004173827645470169,0.0032268247343130723,0.003788011644628389,0.0037178632808389745,0.0037529374627336817,0.0029462312791554137,0.002174599277471853,0.0024201185507348043,0.002069376731787731,0.002139525095577146,0.002034302549893024,0.0018589316404194873,0.0011925221844200484,0.0014731156395777069,0.0010872996387359265,0.0008768545473676827,0.0015432640033671214,0.001052225456841219,0.001052225456841219,0.0008417803654729753,0.00017537090947353652,0.00014029672757882923
ratio,0.29604285467426994,0.114428892344911,0.09531709002937619,0.048833592534992226,0.04696734059097978,0.03397269742526352,0.02982547088301365,0.017107309486780714,0.0144116122343183,0.014930015552099534,0.01378952825298082,0.013029203386901677,0.015310177985139105,0.011404872991187144,0.012407119405564196,0.012441679626749611,0.01119751166407465,0.010437186797995508,0.00971142215310178,0.013271124935199585,0.008743735959910143,0.007776049766718507,0.009884223259028858,0.008570934853983065,0.01261448073267669,0.007050285121824779,0.007119405564195611,0.0064282011404872995,0.004872991187143598,0.005978918265076897,0.006117159149818559,0.0050803525142560915,0.005045792293070676,0.004907551408329013,0.004976671850699844,0.004734750302401935,0.0052531536201831696,0.004216346984620702,0.003870744772766546,0.004285467426991533,0.003870744772766546,0.004458268532918611,0.003110419906687403,0.0029721790219457405,0.0021427337134957663,0.0019699326075686883,0.002833938137204078,0.0022809745982374286,0.0023500950406082598,0.0014860895109728703,0.0015206497321582858,0.0013824088474166235,0.0013132884050457924,0.0012096077414895455,0.0013824088474166235,0.0010713668567478832,0.0011404872991187143,0.0008294453084499741,0.00013824088474166234,0.00017280110592707794
ratio,0.3381323471139876,0.11550653810593052,0.09156650376436402,0.04738475762779025,0.043785497292299566,0.035299167877427026,0.022090873068286884,0.013835688812574297,0.014397041341962753,0.014595165764099855,0.01046757363624356,0.010797781006472065,0.010665698058380663,0.010929863954563466,0.011458195746929072,0.01317527407211729,0.01040153216219786,0.009344868577466648,0.008882578259146744,0.00851935015189539,0.008123101307621186,0.008849557522123894,0.007231541408004227,0.007330603619072778,0.00475498613129045,0.007924976885484084,0.007924976885484084,0.005844670453044512,0.007991018359529785,0.006703209615638621,0.005382380134724607,0.004986131290450403,0.004986131290450403,0.004953110553427552,0.004622903183199049,0.004920089816404702,0.0047219653942676,0.004061550653810593,0.004292695812970546,0.0038304054946506406,0.005910711927090213,0.0032360322282393343,0.003401135913353586,0.003037907806102232,0.0022123893805309734,0.002377493065645225,0.0016510368511425174,0.002377493065645225,0.0019482234843481707,0.0017500990622110685,0.0014529124290054154,0.0013868709549597147,0.0014529124290054154,0.001320829480914014,0.0012547880068683134,0.0010896843217540616,0.0016510368511425174,0.001221767269845463,0.00023114515915995245,0.00036322810725135385
ratio,0.31765167457288584,0.12294468024396334,0.09009523130149445,0.0481149909048757,0.044655276955451725,0.02664336412597639,0.020936619467132718,0.014088525876520312,0.014516531725933588,0.015087206191817954,0.014409530263580269,0.013660520027107038,0.015301209116524592,0.010165138923565289,0.011199486392980703,0.011163819238862931,0.010771480543567429,0.014873203267111317,0.010129471769447515,0.00848878268002996,0.009273460070620965,0.008381781217676642,0.006990762207083496,0.008381781217676642,0.005492741734137033,0.0072047651317901345,0.009915468844740878,0.006027749045903627,0.0053500731176659416,0.0066697578200235405,0.006241751970610265,0.005171737347077076,0.005278738809430396,0.005029068730605985,0.004565395727074937,0.0051360701929593034,0.005100403038841531,0.0043157256482505265,0.0038877197988372507,0.0038877197988372507,0.004815065805899348,0.0032100438705995648,0.004030388415308343,0.003317045332952884,0.004957734422370439,0.0026750365588329708,0.003174376716481792,0.002354032171773014,0.001926026322359739,0.0016763562435353283,0.001747690551770874,0.0016406890894175555,0.001319684702357599,0.0016406890894175555,0.0011413489317687341,0.0012126832400042801,0.0006063416200021401,0.0010700146235331882,0.00014266861647109177,0.00014266861647109177
ratio,0.30652578369080635,0.1256713588654474,0.08491592656299364,0.04851335696984589,0.04623161442061291,0.03443676062765472,0.024853441920876188,0.024502404605609575,0.013339417980131288,0.01449784112051111,0.014638256046617755,0.018429459051497173,0.014708463509671078,0.015024397093411029,0.011619335135324885,0.011829957524484853,0.010531119457998386,0.011022571699371644,0.009478007512198548,0.009091866465405272,0.007863235861972127,0.008144065714185418,0.008354688103345385,0.0073015761575455475,0.004352862709305999,0.0070558500368589185,0.008424895566398707,0.0068101239161722895,0.003229543300452838,0.0061080492856390636,0.00547618211815916,0.005160248534419209,0.005090041071365886,0.005054937339839225,0.004984729876785902,0.004598588829992628,0.004528381366939306,0.004282655246252677,0.00382630673640608,0.0030540246428195318,0.003229543300452838,0.002983817179766209,0.002843402253659564,0.003369958226559483,0.003194439568926177,0.003440165689612806,0.003124232105872854,0.0020360164285463545,0.0020360164285463545,0.0016498753817530804,0.0010882156773264998,0.0016849791132797416,0.0010531119457998384,0.0008424895566398708,0.0010180082142731773,0.0011584231403798224,0.0005967634359532419,0.0007722820935865482,0.00017551865763330642,0.00014041492610664515
ratio,0.32202972906490496,0.12077871876866851,0.09256070562603226,0.04564781951716625,0.048880767473732295,0.025863583652528378,0.023579435639737148,0.014548265804547211,0.01342376216748076,0.015532206486980357,0.011842428927856063,0.010999051200056224,0.013037214042239167,0.015356502793688723,0.013880591770039006,0.010612503074814632,0.011034191938714551,0.007309273640931932,0.009523140176406509,0.009769125347014794,0.007976947675440138,0.008820325403239977,0.01085848824542292,0.008328355062023403,0.009312295744456548,0.00857434023263169,0.007238992163615279,0.006536177390448747,0.002986962785957761,0.006430755174473768,0.006149629265207155,0.005130547844115684,0.00537653301472397,0.004989984889482377,0.004989984889482377,0.004533155286924131,0.00484942193484907,0.004357451593632498,0.004743999718874091,0.003338370172541027,0.004287170116315845,0.003584355343149313,0.0037951997750992725,0.002881540569982781,0.002249007274132902,0.0021435850581579224,0.0026706961380328215,0.002249007274132902,0.0020733035808412695,0.002354429490107882,0.001827318410232983,0.001475911023649717,0.001475911023649717,0.0010190814210914714,0.001124503637066451,0.0010542221597497979,0.0006325332958498788,0.0009839406824331447,0.000175703693291633,0.0002108444319499596
