,GPU/MatMul,GPU/SegmentSum,GPU/Mul,GPU/ResourceApplyAdam,GPU/Slice,GPU/ConcatV2,GPU/RealDiv,GPU/Softmax,GPU/AddN,GPU/GatherV2,GPU/Relu,GPU/Sum,GPU/UnsortedSegmentSum,GPU/Sub,GPU/RandomUniform,GPU/AssignSubVariableOp,GPU/Add,GPU/ReadVariableOp,GPU/Floor,GPU/LeakyReluGrad,GPU/LeakyRelu,GPU/ReluGrad,GPU/Reshape,GPU/Const,GPU/unknown,GPU/Shape,GPU/VarHandleOp,GPU/SparseSoftmaxCrossEntropyWithLogits,GPU/BroadcastGradientArgs,GPU/Cast,GPU/NoOp,GPU/Snapshot,GPU/DynamicStitch,GPU/ShapeN,GPU/Mean,GPU/AssignAdd,GPU/ConcatOffset,GPU/Unpack,GPU/Maximum,GPU/MEMCPYHtoD,MEMCPY/MEMCPYHtoD,GPU/MEMCPYDtoH,MEMCPY/MEMCPYDtoH,GPU/StridedSlice,GPU/FloorDiv,GPU/Size,MEMCPY/AssignSubVariableOp,CPU/_Arg,GPU/AssignVariableOp,GPU/VariableV2,GPU/ExpandDims,GPU/Tile,CPU/NoOp,CPU/_Retval
ratio,0.4454068460064962,0.0746856000666278,0.09448654951278421,0.02713000749562755,0.02656783542933289,0.025089531106854336,0.023527942033813608,0.026401265928208545,0.018301823936037312,0.020592154576497042,0.01705255267760473,0.01615724160906138,0.01469975847422337,0.013971016906804364,0.015032897476472058,0.015137003414674773,0.013034063462979929,0.01692762555176147,0.010535520946114766,0.008578329307903722,0.009577746314649787,0.007412342800033314,0.007016740234862997,0.008182726742733406,0.005371866411260098,0.007329058049471142,0.006496210543849421,0.003976846839343716,0.005080369784292496,0.0021029399516948447,0.002186224702257017,0.0020196552011326726,0.001124344132589323,0.0009369534438244358,0.0010202381943866079,0.0008328475056217207,0.0007287415674190055,0.0006038144415757475,0.00045806612809194637,0.00041642375281086033,0.00041642375281086033,0.00041642375281086033,0.00041642375281086033,0.00041642375281086033,0.0003539601898892313,0.00022903306404597318,0.00022903306404597318,0.0002706754393270592,0.0002498542516865162,0.0002498542516865162,0.00018739068876488715,0.00016656950112434413,0.0001249271258432581,8.328475056217206e-05
ratio,0.4494432452072068,0.07471841672187908,0.08927311975036868,0.026972151574087926,0.025411955801577294,0.027976661181046827,0.023189211139370364,0.02530509307743273,0.018038427835602385,0.019790976511573233,0.01769646711833978,0.01468293829746308,0.014704310842291991,0.017824702387313256,0.018658231635640857,0.015024899014725684,0.014169997221569173,0.016777447690696532,0.01100686058689008,0.008164312124644682,0.009660390262668576,0.007394900510803821,0.006219410545213619,0.006198038000384706,0.005685096924490799,0.00707431233837013,0.00423176387612473,0.004274508965782556,0.00476607749684755,0.0021799995725491034,0.0014747055931949818,0.0020517643035756266,0.001260980144905854,0.0008121567034986856,0.0008549017931565111,0.000876274337985424,0.000876274337985424,0.0006198038000384706,0.0004060783517493428,0.0005129410758939067,0.0005129410758939067,0.00042745089657825555,0.00042745089657825555,0.00038470580692043,0.00042745089657825555,0.00023509799311804055,0.00025647053794695333,0.00021372544828912777,0.00023509799311804055,0.000192352903460215,0.00014960781380238944,0.00010686272414456389,0.00010686272414456389,6.411763448673833e-05
ratio,0.44234082881020076,0.12925389850952013,0.08389334022572585,0.02612647540277419,0.025394158697337813,0.024252606185922287,0.02147411045059016,0.021732575170155942,0.01878176962177996,0.017941759283191177,0.014775566468510382,0.015917118979925905,0.014603256655466528,0.012729387438614629,0.012535538898940294,0.011997070733178255,0.011975532006547773,0.011200137847850435,0.009003187731541311,0.008270871026104937,0.008098561213061083,0.007215473421211338,0.006009304729904368,0.005923149823382442,0.005944688550012923,0.005836994916860515,0.004480055139140174,0.003790815886964763,0.004458516412509692,0.001529249590764194,0.0014646334108727491,0.0014646334108727491,0.0010123201516326354,0.000926165245110709,0.0009046265184802275,0.0008184716119583011,0.0007969328853278194,0.0006892392521754114,0.0003661583527181873,0.0003876970793486689,0.0003876970793486689,0.0004307745326096321,0.0004307745326096321,0.00040923580597915053,0.0003661583527181873,0.0002800034461962609,0.0002800034461962609,0.00023692599293529768,0.00021538726630481605,0.00019384853967433445,0.00015077108641337123,0.00010769363315240803,0.00010769363315240803,8.615490652192643e-05
ratio,0.434918423774246,0.13706494438464298,0.08364465269423162,0.025623166381730303,0.02509550644800439,0.02480001688511788,0.020684269402055762,0.020916439772895163,0.01745499060765318,0.01745499060765318,0.016104181177314845,0.013845796660967939,0.014267924607948668,0.015386563667447603,0.016399670740201357,0.011650731336668144,0.01173515692606429,0.010996433018848013,0.008822474091897254,0.008189282171426159,0.007809367019143502,0.007133962303974334,0.005698727284239853,0.0064796639861542035,0.005867578463032145,0.005466556913400452,0.0039891090989678975,0.004390130648599591,0.003820257920175605,0.0019840013508094305,0.001414128622385445,0.001371915827687372,0.0013508094303383356,0.0008653622913104962,0.0008020430992633867,0.0008020430992633867,0.0006754047151691678,0.0006331919204710948,0.00046434074167880284,0.00040102154963169334,0.00040102154963169334,0.00042212794698072984,0.00042212794698072984,0.0003588087549336204,0.0003799151522826569,0.0002532767681884379,0.00021106397349036492,0.00023217037083940142,0.00023217037083940142,0.00016885117879229195,0.00016885117879229195,0.00010553198674518246,8.442558939614598e-05,8.442558939614598e-05
ratio,0.4219281058818825,0.11919708904794274,0.08846815146547243,0.028889599744092127,0.030069175096965092,0.02563077292174817,0.021992082850173938,0.02033268023511536,0.02103242832580271,0.018773241633012114,0.016474069335039386,0.01859330640969251,0.01593426366508057,0.016414090927266183,0.014954616338118277,0.01119596945099764,0.011595825502818985,0.010656163781038825,0.008936782758207045,0.009956415690351474,0.007517293774241273,0.00875684753488744,0.008097085049382223,0.0061577831980487024,0.0053180854892238795,0.005717941541045224,0.004018553320804511,0.0036586828741653004,0.003978567715622376,0.00193930185133352,0.0017393738254228477,0.0013395177736015035,0.001199568155464033,0.0010596185373265624,0.0009596545243712263,0.0009196689191890919,0.0009196689191890919,0.0007397336958694869,0.00043984165700347875,0.00039985605182134434,0.00039985605182134434,0.00039985605182134434,0.00039985605182134434,0.0005997840777320165,0.00041984885441241155,0.00035987044663920986,0.00021992082850173938,0.0002599064336838738,0.00033987764404814266,0.00019992802591067217,0.00015994242072853772,0.00013994961813747052,0.00011995681554640329,7.997121036426886e-05
ratio,0.42404184032034,0.1524474953011359,0.0793699436136308,0.02502655879709079,0.024495382855274986,0.02394377706954319,0.020695431886900383,0.021042739233472257,0.017487946392089563,0.017099779357685706,0.02089973032606031,0.014464329492522677,0.01448475933643867,0.01293209119882324,0.01581269919097818,0.011808449783443654,0.011154694778131895,0.011706300563863693,0.008274086785976955,0.00790634959548909,0.007926779439405084,0.006946146931437444,0.005945084579553812,0.0060880934869657595,0.0055160578573179705,0.005495628013401977,0.004126828471030481,0.004045109095366511,0.003942959875786549,0.0016139576693634061,0.001532238293699436,0.0014709487619514587,0.001266650322791534,0.000980632507967639,0.0008784832883876767,0.0010419220397156167,0.0007354743809757293,0.0005720356296477895,0.00042902672223584214,0.00040859687831984963,0.00040859687831984963,0.00040859687831984963,0.00040859687831984963,0.00042902672223584214,0.0003473073465718722,0.00024515812699190976,0.00030644765873988724,0.00028601781482389473,0.00026558797090790227,0.00018386859524393233,0.00018386859524393233,0.00014300890741194736,0.00012257906349595488,0.00020429843915992482
ratio,0.44503168976259533,0.11878826941669353,0.08224299065420561,0.02704909227629176,0.02541626383070147,0.0235256203673864,0.021849822752175313,0.021957245676227307,0.018369320012890752,0.01826189708883876,0.01411537222043184,0.01527553980019336,0.014287248898915028,0.018154474164786764,0.015211086045762165,0.012138790417875174,0.011386829949511226,0.011816521645719197,0.00956064024062735,0.008185626812761844,0.008013750134278654,0.007541089268449887,0.005972714577290794,0.006187560425394779,0.005543022881082823,0.0058867762380492,0.0042754323772693096,0.0043184015468901065,0.004103555698786121,0.0023633043291438395,0.0015039209367278977,0.001439467182296702,0.0011171984101407241,0.0011171984101407241,0.0008593833924159416,0.000837898807605543,0.0007304758835535504,0.0006875067139327532,0.0004296916962079708,0.00045117628101836935,0.00045117628101836935,0.00045117628101836935,0.00045117628101836935,0.0004296916962079708,0.0003652379417767752,0.0003222687721559781,0.0003437533569663766,0.00023633043291438393,0.00025781501772478247,0.0002148458481039854,0.0001718766784831883,0.0001074229240519927,0.00012890750886239123,6.445375443119562e-05
ratio,0.4228454117834649,0.12835844694251775,0.08795742645300167,0.02824284461452603,0.030116399585426133,0.023180259905923623,0.022163756677031014,0.02025033883440963,0.02064896755162242,0.018815275452443592,0.0179582237104361,0.018137606633181855,0.016064737303675358,0.01427090807621781,0.011839272901219803,0.011061946902654867,0.01126126126126126,0.010523798134417603,0.008112094395280236,0.009467432033803715,0.0071753169098301844,0.008510723112493025,0.008151957267001514,0.005580802040979032,0.005620664912700311,0.005361556246511999,0.004683887427250259,0.004225464402455553,0.003906561428685323,0.0018735549709001037,0.0016742406122937097,0.0013154747668022004,0.0011560232799170853,0.0010165032288926095,0.0009766403571713307,0.001036434664753249,0.0007573945627042972,0.0007175316909830184,0.000697600255122379,0.000398628717212788,0.000398628717212788,0.000398628717212788,0.000398628717212788,0.000398628717212788,0.0003786972813521486,0.0003587658454915092,0.0002591086661883122,0.0002591086661883122,0.000298971537909591,0.000199314358606394,0.000199314358606394,0.00013952005102447582,9.9657179303197e-05,9.9657179303197e-05
ratio,0.4141936743459586,0.139535337758688,0.08738773916438891,0.028074970714564624,0.029070675517376025,0.020714564623194064,0.023096446700507613,0.02083170636470129,0.02051932838734869,0.01813744631003514,0.01938695821944553,0.01815696993361968,0.015950800468566968,0.014447481452557595,0.01245607184693479,0.01108941819601718,0.010991800078094494,0.010503709488481063,0.008238969152674736,0.009839906286606795,0.0069113627489262005,0.008453729012104647,0.008102303787582976,0.006110894181960172,0.005583756345177665,0.005173760249902382,0.004197579070675517,0.0036899648574775477,0.004158531823506443,0.0019133151112846545,0.0017376024990238188,0.001288559156579461,0.001073799297149551,0.000878563061304178,0.0010347520499804765,0.0008590394377196407,0.0008590394377196407,0.0007223740726278797,0.0004490433424443577,0.0004099960952752831,0.0004099960952752831,0.0003904724716907458,0.0003904724716907458,0.00037094884810620854,0.00037094884810620854,0.00037094884810620854,0.00021475985942991018,0.00027333073018352206,0.00031237797735259666,0.0001757126122608356,0.0001757126122608356,0.00015618898867629833,9.761811792268645e-05,5.857087075361187e-05
ratio,0.44682087143625604,0.12015061861215708,0.08660570199031738,0.025970952124798278,0.02653039268423884,0.022485207100591716,0.0228940290478752,0.021925766541151158,0.018956428187197418,0.0185045723507262,0.015750403442711135,0.016331360946745564,0.014846691769768694,0.013383539537385691,0.012759548144163529,0.011705217859064013,0.011490048413125337,0.010091447014523938,0.009123184507799892,0.008563743948359332,0.007638515330823023,0.0078536847767617,0.006713286713286713,0.005615922538999462,0.005766541151156536,0.005658956428187197,0.0036148466917697688,0.0038515330823023133,0.004410973641742873,0.002151694459386767,0.001441635287789134,0.0014201183431952662,0.0009682625067240452,0.0008391608391608392,0.0007315761161915008,0.0008391608391608392,0.0007315761161915008,0.0005594405594405594,0.00038730500268961807,0.0005164066702528241,0.0005164066702528241,0.00043033889187735344,0.00043033889187735344,0.0003657880580957504,0.0002797202797202797,0.00021516944593867672,0.00021516944593867672,0.00021516944593867672,0.00019365250134480903,0.0001506186121570737,0.00012910166756320603,0.00010758472296933836,8.606777837547069e-05,6.455083378160302e-05
