,GPU/MatMul,GPU/Mul,GPU/RandomUniform,GPU/ResourceApplyAdam,GPU/RealDiv,GPU/SparseSoftmaxCrossEntropyWithLogits,GPU/Sub,GPU/SegmentSum,GPU/Add,GPU/Floor,GPU/Const,GPU/Sum,GPU/Relu,GPU/Pack,GPU/ReluGrad,GPU/ReadVariableOp,GPU/Shape,GPU/BroadcastGradientArgs,GPU/Tile,GPU/Mean,GPU/AddN,GPU/Reshape,GPU/AssignAdd,GPU/GatherV2,GPU/VarHandleOp,GPU/unknown,GPU/NoOp,GPU/Snapshot,GPU/AssignVariableOp,GPU/Unpack,CPU/_Arg,GPU/VariableV2,GPU/MEMCPYHtoD,MEMCPY/MEMCPYHtoD,CPU/_Retval,CPU/NoOp,MEMCPY/Pack,MEMCPY/MEMCPYDtoH,GPU/MEMCPYDtoH
ratio,0.21783339851388345,0.08877590926867422,0.1020727414939382,0.06531091122409073,0.05866249511145874,0.05944466171294486,0.05240516229956981,0.04810324599139617,0.026202581149784906,0.028549080954243255,0.024247164646069613,0.021509581540868204,0.016425498631208447,0.019554165037152915,0.01759874853343762,0.015252248728979272,0.016034415330465387,0.01329683222526398,0.010950332420805632,0.01329683222526398,0.010168165819319515,0.009385999217833398,0.009777082518576457,0.009777082518576457,0.008212749315604223,0.007039499413375049,0.005475166210402816,0.003910833007430583,0.003128666405944466,0.0023464998044583495,0.0035197497066875244,0.0019554165037152915,0.0023464998044583495,0.0023464998044583495,0.0007821666014861165,0.001564333202972233,0.0011732499022291747,0.0007821666014861165,0.0007821666014861165
ratio,0.2268370607028754,0.08910188143414981,0.07525736599219027,0.06886758963436279,0.058927937522186724,0.05679801206957757,0.05218317358892439,0.04934327298544551,0.0308839190628328,0.03585374511892084,0.023784167554135604,0.020944266950656727,0.01597444089456869,0.01774937877174299,0.01632942847000355,0.01526446574369897,0.01632942847000355,0.01526446574369897,0.011714589989350373,0.010294639687610933,0.011714589989350373,0.011004614838480652,0.009939652112176074,0.008874689385871494,0.0067447639332623354,0.006389776357827476,0.01597444089456869,0.003549875754348598,0.003194888178913738,0.0024849130280440185,0.0024849130280440185,0.002129925452609159,0.001774937877174299,0.001774937877174299,0.0010649627263045794,0.0010649627263045794,0.0007099751508697196,0.0007099751508697196,0.0007099751508697196
ratio,0.21425694724124045,0.09182440596053161,0.08417237213048731,0.060410793395086586,0.060410793395086586,0.06161900926298832,0.05799436165928312,0.03302456705598067,0.02617801047120419,0.023358840112766815,0.026580749093838098,0.022150624244865084,0.018123238018525976,0.018123238018525976,0.01852597664115989,0.016915022150624244,0.01449859041482078,0.013290374546919049,0.012484897301651228,0.01973419250906162,0.012082158679017317,0.010471204188481676,0.009665726943213854,0.009665726943213854,0.008860249697946033,0.00724929520741039,0.02174788562223117,0.004430124848973017,0.003221908981071285,0.003221908981071285,0.002819170358437374,0.002819170358437374,0.0024164317358034634,0.0024164317358034634,0.0012082158679017317,0.0016109544905356424,0.0008054772452678212,0.0008054772452678212,0.0008054772452678212
ratio,0.22396461600321674,0.08765581021310816,0.08242862887012464,0.059911540008041816,0.0671491757137113,0.06272617611580217,0.05186972255729795,0.03417772416566144,0.02814636107760354,0.02332127060715722,0.02372336147969441,0.022114997989545637,0.01769199839163651,0.020908725371934056,0.017289907519099316,0.017289907519099316,0.020908725371934056,0.013671089666264576,0.011258544431041415,0.01166063530357861,0.010856453558504222,0.009650180940892641,0.013671089666264576,0.010454362685967028,0.007639726578206675,0.007237635705669481,0.02010454362685967,0.0036188178528347406,0.003216726980297547,0.0024125452352231603,0.0024125452352231603,0.0024125452352231603,0.002010454362685967,0.002010454362685967,0.0012062726176115801,0.0008041817450743868,0.0008041817450743868,0.0008041817450743868,0.0008041817450743868
ratio,0.2284465633690902,0.09217322208978942,0.06833531982518871,0.06436233611442194,0.06197854588796186,0.061183949145808506,0.04052443384982122,0.03655145013905443,0.04251092570520461,0.03734604688120779,0.029797377830750895,0.021056813667063964,0.025029797377830752,0.018275725069527213,0.017878426698450536,0.0166865315852205,0.014700039729837107,0.013905442987683751,0.011918951132300357,0.010727056019070322,0.010727056019070322,0.010727056019070322,0.009137862534763607,0.010329757647993643,0.009535160905840286,0.007151370679380214,0.003575685339690107,0.004370282081843465,0.0031783869686134287,0.0023837902264600714,0.0023837902264600714,0.0027810885975367503,0.0027810885975367503,0.0027810885975367503,0.0011918951132300357,0.0011918951132300357,0.0007945967421533572,0.0007945967421533572,0.0007945967421533572
ratio,0.22528830313014828,0.09266886326194398,0.08072487644151564,0.06301482701812192,0.060955518945634266,0.06260296540362438,0.04612850082372323,0.036243822075782535,0.025947281713344317,0.03130148270181219,0.023476112026359144,0.0214168039538715,0.016474464579901153,0.019357495881383854,0.018945634266886325,0.0214168039538715,0.015650741350906095,0.014415156507413509,0.011532125205930808,0.011532125205930808,0.01070840197693575,0.01400329489291598,0.011120263591433279,0.01029654036243822,0.008649093904448105,0.007413509060955519,0.004118616144975288,0.004530477759472817,0.012767710049423394,0.002471169686985173,0.002883031301482702,0.002059308072487644,0.002059308072487644,0.002059308072487644,0.0012355848434925864,0.0016474464579901153,0.0012355848434925864,0.0008237232289950577,0.0008237232289950577
ratio,0.24572127139364303,0.08638956805215973,0.09657701711491443,0.061124694376528114,0.061124694376528114,0.05990220048899755,0.04523227383863081,0.037082314588427055,0.02730236348818256,0.023634881825590873,0.024857375713121434,0.02078239608801956,0.016299918500407497,0.017929910350448247,0.018337408312958436,0.01589242053789731,0.014669926650366748,0.016299918500407497,0.011409942950285249,0.011817440912795437,0.011409942950285249,0.009372453137734311,0.013854930725346373,0.009779951100244499,0.007742461287693562,0.007334963325183374,0.004074979625101874,0.004482477587612062,0.0032599837000814994,0.0024449877750611247,0.0028524857375713123,0.002037489812550937,0.0016299918500407497,0.0016299918500407497,0.0016299918500407497,0.0016299918500407497,0.0008149959250203749,0.0008149959250203749,0.0008149959250203749
ratio,0.23023064250411862,0.08813838550247118,0.06054365733113674,0.06754530477759473,0.05971993410214168,0.05889621087314662,0.05024711696869852,0.047775947281713346,0.027182866556836903,0.023476112026359144,0.025535420098846788,0.022240527182866558,0.022652388797364087,0.018533772652388796,0.018533772652388796,0.016474464579901153,0.015650741350906095,0.016474464579901153,0.011943986820428337,0.01029654036243822,0.016062602965403624,0.01029654036243822,0.009060955518945634,0.009884678747940691,0.007825370675453048,0.007413509060955519,0.024299835255354202,0.004530477759472817,0.0032948929159802307,0.002471169686985173,0.0016474464579901153,0.002471169686985173,0.002059308072487644,0.002059308072487644,0.0008237232289950577,0.0008237232289950577,0.0012355848434925864,0.0008237232289950577,0.0008237232289950577
ratio,0.2328150572831424,0.09247135842880523,0.06587561374795417,0.060556464811783964,0.062193126022913256,0.05851063829787234,0.04132569558101473,0.04869067103109656,0.031914893617021274,0.03887070376432079,0.02414075286415712,0.02127659574468085,0.018821603927986905,0.019230769230769232,0.01800327332242226,0.015548281505728314,0.015548281505728314,0.026595744680851064,0.011456628477905073,0.011456628477905073,0.009819967266775777,0.009819967266775777,0.00900163666121113,0.009819967266775777,0.00900163666121113,0.007364975450081833,0.0057283142389525366,0.004091653027823241,0.0032733224222585926,0.0024549918166939444,0.0024549918166939444,0.0024549918166939444,0.0020458265139116204,0.0020458265139116204,0.0016366612111292963,0.0012274959083469722,0.0008183306055646482,0.0008183306055646482,0.0008183306055646482
ratio,0.22867892976588627,0.09197324414715718,0.07107023411371237,0.06479933110367893,0.07065217391304347,0.06270903010033445,0.042642140468227424,0.041387959866220736,0.030936454849498328,0.03260869565217391,0.02508361204013378,0.021321070234113712,0.023829431438127092,0.018812709030100336,0.01797658862876254,0.01588628762541806,0.015468227424749164,0.013795986622073578,0.011705685618729096,0.010869565217391304,0.011705685618729096,0.010451505016722408,0.010033444816053512,0.010451505016722408,0.00919732441471572,0.007525083612040134,0.004180602006688963,0.004180602006688963,0.0033444816053511705,0.002508361204013378,0.002926421404682274,0.002508361204013378,0.0016722408026755853,0.0016722408026755853,0.001254180602006689,0.001254180602006689,0.001254180602006689,0.0008361204013377926,0.0008361204013377926
