,CPU/SparseToDense,MEMCPY/MEMCPYHtoD,GPU/MEMCPYHtoD,CPU/IteratorGetNext,GPU/MatMul,GPU/SoftmaxCrossEntropyWithLogits,GPU/Unique,CPU/LogUniformCandidateSampler,GPU/ConcatV2,GPU/Add,GPU/Mul,CPU/ComputeAccidentalHits,GPU/Sub,GPU/Slice,GPU/ZerosLike,GPU/GatherV2,GPU/UnsortedSegmentSum,GPU/AddN,GPU/RealDiv,GPU/Shape,GPU/Pad,GPU/ScatterAdd,GPU/Sqrt,GPU/Assign,GPU/AssignSub,GPU/Const,GPU/Log,GPU/Reshape,GPU/Cast,GPU/NoOp,GPU/Snapshot,GPU/Mean,GPU/StridedSlice,GPU/Fill,GPU/BroadcastGradientArgs,GPU/VariableV2,GPU/MEMCPYDtoH,MEMCPY/MEMCPYDtoH,GPU/Tile,GPU/Sum,GPU/Identity,GPU/AssignAdd,GPU/StopGradient,GPU/Pack,CPU/IteratorV2,GPU/ExpandDims,GPU/Size,GPU/ShapeN,CPU/Shape,GPU/ConcatOffset,CPU/Const,MEMCPY/Assign,CPU/_Retval,CPU/NoOp,MEMCPY/ConcatV2,MEMCPY/Snapshot
ratio,0.21385303514376997,0.1914888178913738,0.1914888178913738,0.061929712460063895,0.05435143769968051,0.051706070287539936,0.043437699680511185,0.038134185303514374,0.023936102236421727,0.021099041533546328,0.023258785942492012,0.02033226837060703,0.010006389776357828,0.009354632587859424,0.0036293929712460063,0.0033865814696485623,0.002964856230031949,0.0028370607028753996,0.00273482428115016,0.002338658146964856,0.0019169329073482429,0.0019297124600638977,0.0022619808306709264,0.002095846645367412,0.0016869009584664536,0.0019041533546325878,0.001623003194888179,0.0014952076677316295,0.0012140575079872204,0.0016996805111821086,0.0008562300319488818,0.000805111821086262,0.0008434504792332268,0.0007284345047923323,0.0007156549520766773,0.0006773162939297125,0.0005623003194888178,0.0005623003194888178,0.0004984025559105431,0.0004600638977635783,0.0003706070287539936,0.0003706070287539936,0.00030670926517571885,0.0003322683706070288,0.00044728434504792333,0.000268370607028754,0.00021725239616613419,0.00011501597444089457,0.00010223642172523961,8.945686900958466e-05,0.00023003194888178915,8.945686900958466e-05,7.667731629392971e-05,0.00012779552715654952,3.8338658146964856e-05,1.2779552715654951e-05
ratio,0.2110981469632529,0.1875493996763145,0.1875493996763145,0.06121168780659164,0.055151994178679414,0.0517018580551269,0.04298242312469419,0.03831532989574316,0.023950217672224522,0.021139924975221748,0.029947181552435795,0.02100191953027965,0.010262586723876196,0.009472191902844167,0.003675963215275948,0.0032744928299898377,0.003462682073092702,0.0031239414355075466,0.003211763082288883,0.002459006109877426,0.002182995219993225,0.002270816866774562,0.0023837304126362803,0.0023711844630960894,0.0018317086328678786,0.002283362816314753,0.0016811572383855873,0.0015682436925238687,0.0014051463485013863,0.0006649353256301203,0.0010036759632152759,0.000978584064134894,0.000740211022871266,0.0006649353256301203,0.0006649353256301203,0.0009409462155143212,0.0005645677293085928,0.0005645677293085928,0.0006649353256301203,0.0007025731742506931,0.000514383931147829,0.0005269298806880199,0.00032619468804496467,0.00038892443574591945,0.0002258270917234371,0.00027601088988420087,0.00023837304126362804,0.0001756432935626733,0.00011291354586171855,0.00013800544494210043,0.0001003675963215276,8.782164678133664e-05,8.782164678133664e-05,6.272974770095474e-05,3.7637848620572846e-05,2.50918990803819e-05
ratio,0.21537479980729418,0.19472402703089803,0.19472402703089803,0.056535722191117306,0.05291597765654093,0.051926407208239475,0.04347599640629679,0.03900990872514681,0.025325191078241167,0.02117159932813375,0.022538769026444968,0.020025780914311012,0.009999869793362065,0.00960924987955886,0.003710889181130454,0.0030989179828387653,0.002942670017317483,0.0029166286897306026,0.00273433939662244,0.0021484095259176315,0.0019530995690160283,0.001979140896602909,0.0018879962500488274,0.0017577896121144256,0.0016796656293537845,0.0016275829741800238,0.0017708102759078658,0.0013801903621046602,0.0010937357586489759,0.0007291571724326506,0.0008072811551932918,0.0008072811551932918,0.0006380125258785693,0.0007682191638129712,0.0006510331896720095,0.0006380125258785693,0.0005729092069113684,0.0005729092069113684,0.0004687438965638468,0.00045572323277040663,0.0003515579224228851,0.0003775992500097655,0.0004036405775966459,0.00029947526724912436,0.0002604132758688038,0.0002604132758688038,0.00019530995690160283,0.0001171859741409617,0.0001171859741409617,9.114464655408133e-05,9.114464655408133e-05,0.0001171859741409617,7.812398276064113e-05,5.208265517376076e-05,2.604132758688038e-05,1.302066379344019e-05
ratio,0.21715502488602073,0.1952866791205633,0.1952866791205633,0.054932134972370636,0.0537956080419078,0.052489255248272346,0.04250871990489752,0.039033821473827224,0.024441860768919254,0.021189042312766984,0.021594011678793976,0.020065578910240498,0.010098107094802022,0.009588629505284198,0.003657787822179258,0.002978484369488824,0.0029523573136161154,0.003056865537106951,0.002730277338698089,0.002338371500607454,0.001933402134580465,0.0018942115507714014,0.0018419574390259833,0.0019203386066441103,0.001646004519980666,0.001672131575853375,0.0015545598244261845,0.001384733961253576,0.0012802257377627403,0.0006531763968177246,0.0008621928437993965,0.0007054305085631426,0.0006793034526904336,0.0007054305085631426,0.0006793034526904336,0.0006139858130086611,0.0006009222850723066,0.0006009222850723066,0.00040496936602698924,0.0004441599498360527,0.0003657787822179258,0.0003527152542815713,0.0002743340866634443,0.0003527152542815713,0.0002743340866634443,0.00023514350285438085,0.0001698258631726084,0.00011757175142719043,0.00013063527936354492,7.838116761812695e-05,0.00010450822349083594,0.00010450822349083594,7.838116761812695e-05,5.225411174541797e-05,3.919058380906347e-05,1.3063527936354493e-05
ratio,0.21477890599410415,0.1958467081559122,0.1958467081559122,0.05353422862757943,0.055027841467409105,0.052210940058958405,0.04421880117916803,0.03884703570258762,0.024788732394366197,0.021342941369145104,0.021735997379626597,0.020491320013101867,0.009970520799213888,0.009564362921716344,0.00370782836554209,0.0033671798231247954,0.0031051424828037995,0.002908614477563053,0.0027906976744186047,0.0019390763183753685,0.0018866688503111693,0.001794955781198821,0.0018604651162790699,0.0017687520471667212,0.0016115296429741238,0.0015067147068457255,0.0013625941696691778,0.0012839829675728792,0.0012446773665247299,0.0006419914837864396,0.0008516213560432361,0.0007075008188666886,0.00061578774975434,0.0006550933508024893,0.0006681952178185391,0.0006026858827382902,0.0006419914837864396,0.0006419914837864396,0.00047166721257779233,0.0004192597445135932,0.00034064854241729444,0.0003537504094333443,0.00032754667540124465,0.00039305601048149363,0.0003013429413691451,0.00022273173927284638,0.00017032427120864722,0.00013101867016049787,0.0001048149361283983,9.171306911234852e-05,7.861120209629872e-05,7.861120209629872e-05,6.550933508024893e-05,3.930560104814936e-05,2.6203734032099575e-05,1.3101867016049787e-05
ratio,0.21592058093574776,0.1963547069714916,0.1963547069714916,0.05225007550588946,0.055427888592701535,0.052499573227581316,0.043123711475582055,0.03865901540320145,0.024792194660748754,0.021378015311281237,0.021916405131774192,0.020143658161858365,0.010150617835147663,0.009599096555618294,0.0036636770711593767,0.003164681627775662,0.0028757895289745644,0.0028757895289745644,0.0026788176434283614,0.002101033445826166,0.0018909301012435492,0.0018515357241343086,0.0021141649048625794,0.001667695297624519,0.001667695297624519,0.0015363807072603837,0.0011161740180951505,0.0013525402807505942,0.0011818313132772181,0.0011161740180951505,0.0008666762964032933,0.0006697044108570903,0.0006303100337478497,0.0006040471156750226,0.0006303100337478497,0.0005909156566386091,0.000564652738565782,0.000564652738565782,0.0003939437710924061,0.00042020668916523314,0.0003545493939831655,0.0003545493939831655,0.0003282864759103384,0.00027576063976468427,0.00019697188554620304,0.00023636626265544365,0.00019697188554620304,0.00011818313132772183,0.00011818313132772183,9.192021325489476e-05,0.00010505167229130828,0.00010505167229130828,5.252583614565414e-05,5.252583614565414e-05,2.626291807282707e-05,2.626291807282707e-05
ratio,0.21481870041308768,0.1959609205953708,0.1959609205953708,0.05216707101173693,0.05564225296701856,0.052363779424300046,0.044495442921775624,0.03938102419513474,0.024221362533604355,0.02141498918103731,0.022044456101239264,0.02064126942495574,0.009927217887351649,0.009546914956396303,0.00369811815618648,0.0029768539767884073,0.0029637400826175333,0.002885056717592289,0.0026358927283456823,0.002203134220706839,0.001927742443118484,0.00191462854894761,0.0018097173955806177,0.0016523506655301292,0.0016523506655301292,0.0014949839354796407,0.0013507310996000261,0.001599895088846633,0.0010753393220116713,0.0009048586977903089,0.0007474919677398203,0.0007081502852271983,0.000629466920201954,0.0006688086027145761,0.0006032391318602059,0.0005901252376893318,0.0006163530260310799,0.0006163530260310799,0.0004196446134679693,0.0004196446134679693,0.0003409612484427251,0.0003409612484427251,0.000314733460100977,0.0004196446134679693,0.0002229362009048587,0.00020982230673398465,0.00017048062422136254,0.00011802504753786637,9.179725919611829e-05,9.179725919611829e-05,9.179725919611829e-05,9.179725919611829e-05,6.55694708543702e-05,3.9341682512622124e-05,2.622778834174808e-05,1.311389417087404e-05
ratio,0.21412993796931112,0.1950897812602024,0.1950897812602024,0.06001958863858962,0.05418217433888345,0.05193601044727392,0.0430035912504081,0.038759386222657524,0.024080966372837086,0.021234084231145936,0.02197845249755142,0.02018935683969964,0.009833496571988247,0.009467841984982043,0.0036696049624551095,0.0032908912830558277,0.0028730003264773097,0.0028468821416911525,0.0026379366634018938,0.001998041136141038,0.00188050930460333,0.001919686581782566,0.0018282729350310154,0.0018152138426379366,0.0016585047339209924,0.0015801501795625205,0.0012797910545217107,0.001227554684949396,0.0011622592229840027,0.0004962455109369899,0.0007443682664054848,0.0006921318968331701,0.000613777342474698,0.0006660137120470127,0.0006921318968331701,0.0006268364348677766,0.0005484818805093047,0.0005484818805093047,0.0005484818805093047,0.0005223636957231473,0.00036565458700620306,0.00035259549461312436,0.00028730003264773097,0.00028730003264773097,0.0002742409402546523,0.00022200457068233758,0.00016976820111002286,0.00011753183153770813,0.00011753183153770813,9.141364675155077e-05,0.00010447273914462945,7.835455435847208e-05,5.2236369572314726e-05,5.2236369572314726e-05,3.917727717923604e-05,2.6118184786157363e-05
ratio,0.21534705727104778,0.19705727104776985,0.19705727104776985,0.05327263130113486,0.051834257059910266,0.052533650039588285,0.04366587490102929,0.039733438902084986,0.024848244919503826,0.02149643705463183,0.021575613618368964,0.021324887833201373,0.010160992346265505,0.009540775930324624,0.003721298495645289,0.0029427289522301397,0.0030219055159672738,0.002876748482449195,0.002916336764317762,0.002005806281340723,0.0019266297176035894,0.0018474531538664556,0.0019530219055159672,0.001689100026392188,0.001649511744523621,0.001596727368698865,0.0010688836104513063,0.0011744523621008182,0.000857746107152283,0.000804961731327527,0.0007389812615465822,0.0006993929796780153,0.0005806281340723146,0.0006202164159408815,0.0006334125098970705,0.0005674320401161256,0.0006202164159408815,0.0006202164159408815,0.0004486671945104249,0.000422275006598047,0.0003299023489047242,0.0003299023489047242,0.0002507257851675904,0.0002507257851675904,0.0002111375032990235,0.00031670625494853525,0.00017154922143045658,0.00011876484560570071,0.00010556875164951175,9.237265769332278e-05,9.237265769332278e-05,0.00010556875164951175,6.598046978094485e-05,5.278437582475587e-05,3.9588281868566906e-05,1.3196093956188968e-05
ratio,0.2156948300938781,0.19726299087663626,0.19726299087663626,0.05392040195689541,0.052280840936136455,0.05262461985984398,0.04220547401824673,0.0390453523733968,0.02459341531138437,0.021406849133941558,0.021882850720613512,0.021777072590241968,0.010022477852703953,0.009533253999735555,0.003662567764114769,0.003014676715589052,0.0029088985852175064,0.0029221208515139495,0.0025915641941028694,0.0019172286129842655,0.0019172286129842655,0.0019568954118735953,0.0018643395477984926,0.001692450085944731,0.0016263387544625148,0.0014808938252016395,0.001256115298162105,0.0012825598307549914,0.0011635594340870024,0.0002776675922253074,0.0008594473092688086,0.0007007801137114901,0.0005817797170435012,0.0009652254396403544,0.0006082242496363877,0.0006082242496363877,0.0005553351844506148,0.0005553351844506148,0.00043633478778262594,0.00043633478778262594,0.00033055665741108024,0.0003437789237075235,0.00030411212481819386,0.000251223059632421,0.00030411212481819386,0.0002380007933359778,0.00018511172815020494,0.00010577813037154569,0.0001322226629644321,9.255586407510247e-05,7.933359777865926e-05,0.00010577813037154569,6.611133148221606e-05,5.2889065185772844e-05,3.966679888932963e-05,1.3222266296443211e-05
